,RawData
0,Drug Arm (Levetiracetam)
1,Placebo Arm
2,Placebo Arm
3,Drug Arm (Levetiracetam)
4,Drug Arm (Levetiracetam)
5,Placebo Arm
6,Placebo Arm
7,Drug Arm (Levetiracetam)
8,Drug Arm (Levetiracetam)
9,Drug Arm (Levetiracetam)
10,Placebo Arm
11,Drug Arm (Levetiracetam)
12,Placebo Arm
13,Placebo Arm
14,Drug Arm (Levetiracetam)
15,Placebo Arm
16,Drug Arm (Levetiracetam)
17,Drug Arm (Levetiracetam)
18,Placebo Arm
19,Drug Arm (Levetiracetam)
20,Placebo Arm
21,Placebo Arm
22,Placebo Arm
23,Drug Arm (Levetiracetam)
24,Placebo Arm
25,Placebo Arm
26,Drug Arm (Levetiracetam)
27,Drug Arm (Levetiracetam)
28,Placebo Arm
29,Drug Arm (Levetiracetam)
30,Drug Arm (Levetiracetam)
31,Placebo Arm
32,Drug Arm (Levetiracetam)
33,Drug Arm (Levetiracetam)
34,Placebo Arm
35,Placebo Arm
36,Drug Arm (Levetiracetam)
37,Placebo Arm
38,Drug Arm (Levetiracetam)
39,Drug Arm (Levetiracetam)
40,Placebo Arm
41,Placebo Arm
42,Placebo Arm
43,Drug Arm (Levetiracetam)
44,Drug Arm (Levetiracetam)
45,Drug Arm (Levetiracetam)
46,Drug Arm (Levetiracetam)
47,Drug Arm (Levetiracetam)
48,Placebo Arm
49,Drug Arm (Levetiracetam)
50,Placebo Arm
51,Placebo Arm
52,Placebo Arm
53,Placebo Arm
54,Placebo Arm
55,Placebo Arm
56,Drug Arm (Levetiracetam)
57,Drug Arm (Levetiracetam)
58,Drug Arm (Levetiracetam)
59,Placebo Arm
60,Placebo Arm
61,Drug Arm (Levetiracetam)
62,Placebo Arm
63,Drug Arm (Levetiracetam)
64,Drug Arm (Levetiracetam)
65,Placebo Arm
66,Drug Arm (Levetiracetam)
67,Placebo Arm
68,Drug Arm (Levetiracetam)
69,Placebo Arm
70,Drug Arm (Levetiracetam)
71,Placebo Arm
72,Placebo Arm
73,Placebo Arm
74,Placebo Arm
75,Drug Arm (Levetiracetam)
76,Drug Arm (Levetiracetam)
77,Drug Arm (Levetiracetam)
78,Placebo Arm
79,Placebo Arm
80,Drug Arm (Levetiracetam)
81,Drug Arm (Levetiracetam)
82,Placebo Arm
83,Drug Arm (Levetiracetam)
84,Drug Arm (Levetiracetam)
85,Placebo Arm
86,Placebo Arm
87,Placebo Arm
88,Drug Arm (Levetiracetam)
89,Drug Arm (Levetiracetam)
90,Placebo Arm
91,Placebo Arm
92,Drug Arm (Levetiracetam)
93,Drug Arm (Levetiracetam)
94,Drug Arm (Levetiracetam)
95,Placebo Arm
96,Drug Arm (Levetiracetam)
97,Placebo Arm
98,Placebo Arm
99,Placebo Arm
100,Drug Arm (Levetiracetam)
101,Drug Arm (Levetiracetam)
102,Placebo Arm
103,Drug Arm (Levetiracetam)
104,Drug Arm (Levetiracetam)
105,Placebo Arm
106,Placebo Arm
107,Placebo Arm
108,Drug Arm (Levetiracetam)
109,Drug Arm (Levetiracetam)
110,Placebo Arm
111,Drug Arm (Levetiracetam)
112,Drug Arm (Levetiracetam)
113,Placebo Arm
114,Drug Arm (Levetiracetam)
115,Placebo Arm
116,Placebo Arm
117,Placebo Arm
118,Drug Arm (Levetiracetam)
119,Drug Arm (Levetiracetam)
120,Placebo Arm
121,Drug Arm (Levetiracetam)
122,Drug Arm (Levetiracetam)
123,Placebo Arm
